merchant_id,kam,main_merchant_name,main_bl
6208c17fb3f7b848ab5ffc79,w/o KAM,,
6211e37e4ac5cee9d8bb65f2,w/o KAM,,
6213134472d8a0a4cf097963,w/o KAM,,
62146194eede7d8f9397c45b,w/o KAM,,
6217282c584d0f7edf28b26a,w/o KAM,,
621b20fb78b2829441e21e45,w/o KAM,,
622488facfa31e84e8b024c3,w/o KAM,,
6229c9b1aadc9fa3f79e25c9,w/o KAM,,
623c7a27d1ac5a4e71cdc2f3,w/o KAM,,
6241f790987bc25e080bc873,w/o KAM,,
62558263b7a500e56d33454e,w/o KAM,,
6266546dff3d7741b9203446,w/o KAM,,
62734479d38c67da1566bc6a,w/o KAM,,
627a58c51923eaf2b170ee27,w/o KAM,,
62877e6b8dda6b912a8686f2,w/o KAM,,
628da839d4c2f3db303664ce,w/o KAM,,
6298bdcabbda442cfb821529,w/o KAM,,
62b954678fc3ea89eaab53b3,w/o KAM,,
62d4b746f8d999f766176723,w/o KAM,,
62e36c456e3bbb333b8711de,w/o KAM,,
62f3a9bf5e3a8aa5d05eca55,w/o KAM,,
62f5aaf2b7854be208110334,w/o KAM,,
6321c1b13a3c32e33dc72abb,w/o KAM,,
6322827800322400e72f7dc5,w/o KAM,,
63326030a4db36aa8f8fbc47,w/o KAM,,
6393f4b85c52b34c3420b255,w/o KAM,,
63f30c31b6bb4389ee6405c7,w/o KAM,,
63fedf24ebff0b4c3eae7890,w/o KAM,,
6410353e98e347dd40b9424d,w/o KAM,,
641504a69589c3211c8518c9,w/o KAM,,
6058107b863c0354b1e78527,Victoria Chu,,
63f480f0c45afcb3c8b8bb87,Mengping,,
6261647a8991238b8ff393d7,w/o KAM,,
6262c6631ee11e4f335b0ce6,w/o KAM,,
6277cde3fa4c0a7b9d19002d,Yilia,,
61e901d8db5ce1cfd7d306c1,w/o KAM,,
633547ff3fd02e056b9f4691,w/o KAM,,
